1. Raw captured requests total: 923
2. Unique method + full URL count: 256
3. Unique normalized endpoints (method + path template + query shape): 148

4. Category Totals:
   - jobs list/filter          : 8 unique endpoints
   - job detail                : 33 unique endpoints
   - users/assignment          : 10 unique endpoints
   - contacts                  : 15 unique endpoints
   - financials                : 19 unique endpoints
   - documents/files/photos    : 10 unique endpoints
   - notes/activity            : 5 unique endpoints
   - webhook/config            : 1 unique endpoints
   - other                     : 47 unique endpoints

=== FULL DEDUPED INVENTORY TABLE ===
| Category | Method | Normalized Path | Query Params Structure | Type Guess | Count | Example URL |
|----------|--------|-----------------|------------------------|------------|-------|-------------|
| jobs list/filter | GET | /api/joblist | filters&loadAll&onlyBalanceDue&onlyWatchList&page&query&sort&type | json | 2 | /api/joblist?filters=currentMilestoneList%3DAssigned&loadAll=false&onlyBalanceDue=false&onlyWatchList=false&page=1&query=&sort=milestoneStart%7Cdesc&type=2 |
| jobs list/filter | GET | /api/joblist | loadAll&onlyBalanceDue&onlyWatchList&page&query&sort&type | json | 2 | /api/joblist?loadAll=false&onlyBalanceDue=false&onlyWatchList=false&page=1&query=&sort=milestoneStart%7Cdesc&type=2 |
| jobs list/filter | GET | /api/joblist | filters&filters&loadAll&onlyBalanceDue&onlyWatchList&page&query&sort&type | json | 1 | /api/joblist?filters=currentMilestoneList%3DProspect&filters=currentMilestoneList%3DApproved&loadAll=false&onlyBalanceDue=false&onlyWatchList=false&page=1&query=&sort=milestoneStart%7Cdesc&type=2 |
| jobs list/filter | GET | /api/joblist | filters&filters&filters&loadAll&onlyBalanceDue&onlyWatchList&page&query&sort&type | json | 1 | /api/joblist?filters=currentMilestoneList%3DProspect&filters=currentMilestoneList%3DApproved&filters=currentMilestoneList%3DCompleted&loadAll=false&onlyBalanceDue=false&onlyWatchList=false&page=1&query=&sort=milestoneStart%7Cdesc&type=2 |
| jobs list/filter | GET | /api/joblist | filters&filters&filters&filters&loadAll&onlyBalanceDue&onlyWatchList&page&query&sort&type | json | 1 | /api/joblist?filters=currentMilestoneList%3DProspect&filters=currentMilestoneList%3DApproved&filters=currentMilestoneList%3DCompleted&filters=currentMilestoneList%3DInvoiced&loadAll=false&onlyBalanceDue=false&onlyWatchList=false&page=1&query=&sort=milestoneStart%7Cdesc&type=2 |
| jobs list/filter | GET | /api/joblist | filters&filters&filters&filters&filters&loadAll&onlyBalanceDue&onlyWatchList&page&query&sort&type | json | 1 | /api/joblist?filters=currentMilestoneList%3DProspect&filters=currentMilestoneList%3DApproved&filters=currentMilestoneList%3DCompleted&filters=currentMilestoneList%3DInvoiced&filters=currentMilestoneList%3DClosed&loadAll=false&onlyBalanceDue=false&onlyWatchList=false&page=1&query=&sort=milestoneStart%7Cdesc&type=2 |
| jobs list/filter | GET | /api/joblist | filters&filters&filters&filters&filters&filters&loadAll&onlyBalanceDue&onlyWatchList&page&query&sort&type | json | 1 | /api/joblist?filters=currentMilestoneList%3DProspect&filters=currentMilestoneList%3DApproved&filters=currentMilestoneList%3DCompleted&filters=currentMilestoneList%3DInvoiced&filters=currentMilestoneList%3DClosed&filters=salesPerson%3DJoe%2520Wajrowski&loadAll=false&onlyBalanceDue=false&onlyWatchList=false&page=1&query=&sort=milestoneStart%7Cdesc&type=2 |
| jobs list/filter | GET | /api/Search/GetTypeAheadSearch | noContacts&query | json | 1 | /api/Search/GetTypeAheadSearch?noContacts=false&query=hambri |
| job detail | GET | /api/jobwatchlist/getcount | (none) | json | 1 | /api/jobwatchlist/getcount |
| job detail | GET | /api/Company/Job_NextSteps | (none) | json | 2 | /api/Company/Job_NextSteps |
| job detail | GET | /api/jobwatchlist/GetCount | (none) | json | 2 | /api/jobwatchlist/GetCount |
| job detail | GET | /api/v3/job-search-views | type | json | 2 | /api/v3/job-search-views?type=1 |
| job detail | GET | /api/jobs/{uuid}/GetBalanceDueAndARAge | (none) | json | 13 | /api/jobs/ea2d3425-8049-4902-9632-3e9df8043d7b/GetBalanceDueAndARAge |
| job detail | GET | /api/jobwatchlist/{uuid}/GetJobOnWatchList | (none) | json | 2 | /api/jobwatchlist/ea2d3425-8049-4902-9632-3e9df8043d7b/GetJobOnWatchList |
| job detail | GET | /api/jobOverview/{uuid}/GetInsuranceEnabled | (none) | json | 2 | /api/jobOverview/ea2d3425-8049-4902-9632-3e9df8043d7b/GetInsuranceEnabled |
| job detail | GET | /api/jobs/{uuid}/GetQBResyncSettings | (none) | json | 2 | /api/jobs/ea2d3425-8049-4902-9632-3e9df8043d7b/GetQBResyncSettings |
| job detail | GET | /api/jobOverview/{uuid}/GetNextSteps | (none) | json | 2 | /api/jobOverview/ea2d3425-8049-4902-9632-3e9df8043d7b/GetNextSteps |
| job detail | GET | /api/jobOverview/{uuid}/GetLastUpdatedDate | (none) | json | 3 | /api/jobOverview/ea2d3425-8049-4902-9632-3e9df8043d7b/GetLastUpdatedDate |
| job detail | GET | /api/jobOverview/{uuid}/GetLocationInformationWithInsurance | (none) | json | 3 | /api/jobOverview/ea2d3425-8049-4902-9632-3e9df8043d7b/GetLocationInformationWithInsurance |
| job detail | GET | /api/jobs/{uuid}/GetLocationImageUrl | (none) | json | 2 | /api/jobs/ea2d3425-8049-4902-9632-3e9df8043d7b/GetLocationImageUrl |
| job detail | GET | /api/jobOverview/{uuid}/GetJobMilestones | (none) | json | 2 | /api/jobOverview/ea2d3425-8049-4902-9632-3e9df8043d7b/GetJobMilestones |
| job detail | GET | /api/v3/job-workflows/{uuid} | (none) | json | 2 | /api/v3/job-workflows/ea2d3425-8049-4902-9632-3e9df8043d7b |
| job detail | GET | /api/v3/job-workflows/{uuid}/can-cancel | (none) | json | 2 | /api/v3/job-workflows/ea2d3425-8049-4902-9632-3e9df8043d7b/can-cancel |
| job detail | GET | /api/jobs/{uuid}/accounts-receivable | (none) | json | 7 | /api/jobs/ea2d3425-8049-4902-9632-3e9df8043d7b/accounts-receivable |
| job detail | GET | /api/v3/jobs/{uuid}/current-job-milestone | (none) | json | 14 | /api/v3/jobs/ea2d3425-8049-4902-9632-3e9df8043d7b/current-job-milestone |
| job detail | GET | /api/jobs/{uuid}/GetJobBootstrap | (none) | json | 11 | /api/jobs/ea2d3425-8049-4902-9632-3e9df8043d7b/GetJobBootstrap |
